Round 228: Acc: 0.95300	 Loss: 0.14564	 Msg_len: 2.651	 Edit_Dist: 1 
Round 229: Acc: 0.94400	 Loss: 0.17438	 Msg_len: 7.263	 Edit_Dist: 6 
Round 230: Acc: 0.93900	 Loss: 0.15864	 Msg_len: 6.834	 Edit_Dist: 10 
Round 231: Acc: 0.92000	 Loss: 0.20785	 Msg_len: 4.015	 Edit_Dist: 2 
Round 232: Acc: 0.93900	 Loss: 0.17673	 Msg_len: 3.965	 Edit_Dist: 3 
Round 233: Acc: 0.94900	 Loss: 0.14797	 Msg_len: 9.964	 Edit_Dist: 4 
Round 234: Acc: 0.95000	 Loss: 0.13957	 Msg_len: 9.629	 Edit_Dist: 9 
Round 235: Acc: 0.93700	 Loss: 0.16772	 Msg_len: 6.581	 Edit_Dist: 9 
Round 236: Acc: 0.95000	 Loss: 0.15488	 Msg_len: 3.437	 Edit_Dist: 5 
Round 237: Acc: 0.92900	 Loss: 0.18863	 Msg_len: 8.504	 Edit_Dist: 7 
Round 238: Acc: 0.94000	 Loss: 0.16985	 Msg_len: 9.959	 Edit_Dist: 8 
Round 239: Acc: 0.92700	 Loss: 0.18784	 Msg_len: 9.380	 Edit_Dist: 7 
Round 240: Acc: 0.94500	 Loss: 0.14597	 Msg_len: 10.193	 Edit_Dist: 5 
Round 241: Acc: 0.93700	 Loss: 0.17361	 Msg_len: 13.632	 Edit_Dist: 6 
Round 242: Acc: 0.95800	 Loss: 0.11237	 Msg_len: 11.866	 Edit_Dist: 7 
Round 243: Acc: 0.95800	 Loss: 0.12278	 Msg_len: 7.720	 Edit_Dist: 10 
Round 244: Acc: 0.94400	 Loss: 0.16750	 Msg_len: 4.528	 Edit_Dist: 6 
Round 245: Acc: 0.95800	 Loss: 0.13611	 Msg_len: 4.908	 Edit_Dist: 3 
Round 246: Acc: 0.93400	 Loss: 0.18374	 Msg_len: 11.764	 Edit_Dist: 8 
Round 247: Acc: 0.95600	 Loss: 0.14351	 Msg_len: 8.769	 Edit_Dist: 5 
Round 248: Acc: 0.95100	 Loss: 0.14263	 Msg_len: 5.857	 Edit_Dist: 8 
Round 249: Acc: 0.94500	 Loss: 0.14556	 Msg_len: 11.361	 Edit_Dist: 6 
Round 250: Acc: 0.93800	 Loss: 0.16195	 Msg_len: 14.521	 Edit_Dist: 4 
Round 251: Acc: 0.95000	 Loss: 0.13394	 Msg_len: 9.639	 Edit_Dist: 2 
Round 252: Acc: 0.95500	 Loss: 0.14771	 Msg_len: 7.157	 Edit_Dist: 9 
Round 253: Acc: 0.96700	 Loss: 0.11954	 Msg_len: 7.914	 Edit_Dist: 4 
Round 254: Acc: 0.96100	 Loss: 0.12404	 Msg_len: 4.322	 Edit_Dist: 5 
Round 255: Acc: 0.94600	 Loss: 0.13921	 Msg_len: 6.372	 Edit_Dist: 3 
Round 256: Acc: 0.95600	 Loss: 0.14703	 Msg_len: 4.440	 Edit_Dist: 5 
Round 257: Acc: 0.95300	 Loss: 0.14462	 Msg_len: 2.936	 Edit_Dist: 0 
Round 258: Acc: 0.94600	 Loss: 0.16074	 Msg_len: 7.496	 Edit_Dist: 5 
Round 259: Acc: 0.93100	 Loss: 0.18465	 Msg_len: 3.874	 Edit_Dist: 4 
Round 260: Acc: 0.94300	 Loss: 0.17321	 Msg_len: 8.429	 Edit_Dist: 6 
Round 261: Acc: 0.95500	 Loss: 0.13331	 Msg_len: 5.019	 Edit_Dist: 9 
Round 262: Acc: 0.97400	 Loss: 0.09900	 Msg_len: 2.756	 Edit_Dist: 2 
Round 263: Acc: 0.95100	 Loss: 0.13944	 Msg_len: 7.582	 Edit_Dist: 4 
Round 264: Acc: 0.94700	 Loss: 0.16969	 Msg_len: 4.063	 Edit_Dist: 7 
Round 265: Acc: 0.96200	 Loss: 0.14052	 Msg_len: 2.778	 Edit_Dist: 1 
Round 266: Acc: 0.95400	 Loss: 0.12342	 Msg_len: 3.162	 Edit_Dist: 2 
Round 267: Acc: 0.93400	 Loss: 0.17239	 Msg_len: 4.481	 Edit_Dist: 2 
Round 268: Acc: 0.94800	 Loss: 0.14122	 Msg_len: 3.053	 Edit_Dist: 11 
Round 269: Acc: 0.93300	 Loss: 0.20915	 Msg_len: 9.291	 Edit_Dist: 5 
Round 270: Acc: 0.93100	 Loss: 0.18671	 Msg_len: 4.414	 Edit_Dist: 6 
Round 271: Acc: 0.91000	 Loss: 0.24768	 Msg_len: 17.269	 Edit_Dist: 12 
Round 272: Acc: 0.93200	 Loss: 0.19632	 Msg_len: 3.462	 Edit_Dist: 13 
Round 273: Acc: 0.93900	 Loss: 0.16092	 Msg_len: 13.923	 Edit_Dist: 8 
Round 274: Acc: 0.94900	 Loss: 0.13299	 Msg_len: 10.895	 Edit_Dist: 5 
